No.,File Name,centroid1,centroid23,skew1,skew23,slope1,slope23,spread1,spread23,variance1,variance23
68,Laselva_exswamp_2011_T1_EXPSWAMP_20110831_070000,6453.8243,6352.39,0.0055,0.0053,-2.1932,-2.2421,0.303,0.2542,31789229.5455,32028050
69,Laselva_exswamp_2011_T1_EXPSWAMP_20110904_071508,6447.9055,6490.94,0.0067,0.0062,-2.196,-2.1753,0.37,0.3075,30364009.0909,30862250
70,Laselva_exswamp_2011_T1_EXPSWAMP_20110908_073000,6490.2839,6552.18,0.003,0.0028,-2.1756,-2.1458,0.1624,0.1615,39716045.4545,39769600
71,Laselva_exswamp_2011_T1_EXPSWAMP_20110909_073000,6463.613,6461.995,0.006,0.0058,-2.1885,-2.1892,0.3196,0.309,33725588.6364,33299050
72,Laselva_exswamp_2011_T1_EXPSWAMP_20110922_080000,7109.1009,7161.995,0.0028,0.0026,-1.8773,-1.8518,0.3461,0.2291,36111604.5455,35702250
73,Laselva_exswamp_2011_T1_EXPSWAMP_20110926_071501,6797.6177,6813.375,0.004,0.004,-2.0274,-2.0198,0.2977,0.2926,36361404.5455,36114500
74,Laselva_exswamp_2011_T1_EXPSWAMP_20110927_074502,6825.3632,6882.47,0.0064,0.0055,-2.0141,-1.9865,0.3531,0.3503,30256550,30516300
75,Laselva_exswamp_2011_T1_EXPSWAMP_20110927_080002,7506.797,7590.825,0.0049,0.0047,-1.6856,-1.6451,0.6327,0.5651,25936579.5455,25928100
76,Laselva_exswamp_2011_T1_EXPSWAMP_20110929_074500,7507.0545,7601,0.0018,0.0018,-1.6855,-1.6402,0.1888,0.166,37640863.6364,37761900
77,Laselva_exswamp_2011_T1_EXPSWAMP_20111003_060000,5742.6016,5761.65,0.0082,0.008,-2.536,-2.5268,0.5316,0.3511,32495402.2727,33308800
78,Laselva_exswamp_2011_T1_EXPSWAMP_20111003_073000,4871.6055,4887.74,0.0192,0.0184,-2.9559,-2.9481,1.2359,1.1515,27181763.6364,27000600
79,Laselva_exswamp_2011_T2_015087_20150113_123000,5044.9011,5024.3,0.0261,0.0244,-2.8724,-2.8823,2.3061,2.1883,18193586.3636,18160600
80,Laselva_exswamp_2011_T2_015087_20150115_113000,6511.2645,6577.605,0.0046,0.0042,-2.1655,-2.1335,2.0058,1.7715,32847209.0909,33120650
81,Laselva_exswamp_2011_T2_015087_20150115_130000,5274.3111,5223.395,0.0094,0.0088,-2.7618,-2.7863,2.1077,2.0943,30807877.2727,30771500
82,Laselva_exswamp_2011_T2_015087_20150117_123000,5414.3845,5443.41,0.0164,0.014,-2.6942,-2.6803,1.711,1.6279,22950754.5455,23527850
83,Laselva_exswamp_2011_T2_EXPSWAMP_20110812_120020,0,0,0.0123,0.0115,-2.2648,-2.3437,2.5413,1.9933,34217795.4545,33372150
84,Laselva_exswamp_2011_T2_EXPSWAMP_20110831_124500,8555.8386,8567.2,0.0009,0.0009,-1.1799,-1.1744,1.5,1.447,23117245.4545,23051650
85,Laselva_exswamp_2011_T2_EXPSWAMP_20110902_134503,8387.4839,8367.16,0.0007,0.0008,-1.261,-1.2708,2.6121,2.2079,25525295.4545,25929550
86,Laselva_exswamp_2011_T2_EXPSWAMP_20110903_121506,6769.2016,6843.865,0.0031,0.0028,-2.0411,-2.0052,5.0815,4.4361,31036925,31344750
87,Laselva_exswamp_2011_T2_EXPSWAMP_20110904_113009,7292.742,7448.415,0.0044,0.0023,-1.7888,-1.7137,0.445,0.3151,42990243.1818,43795650
88,Laselva_exswamp_2011_T2_EXPSWAMP_20110909_130000,7650.5748,7738.345,0.0022,0.002,-1.6163,-1.574,1.018,0.7532,35287713.6364,35369050
89,Laselva_exswamp_2011_T2_EXPSWAMP_20110923_110000,8051.6557,8048.525,0.0015,0.0015,-1.4229,-1.4244,0.2779,0.2715,45098929.5455,44956550
90,Laselva_exswamp_2011_T2_EXPSWAMP_20110930_110000,7243.815,7191.795,0.0018,0.0018,-1.8124,-1.8374,0.1641,0.1595,42844479.5455,42908600
91,Laselva_exswamp_2011_T2_EXPSWAMP_20111001_110000,8426.9064,8406.81,0.0012,0.0011,-1.242,-1.2517,0.9383,0.8693,23520170.4545,23532950
92,Laselva_exswamp_2011_T2_EXPSWAMP_20111004_134500,7185.7716,7269.93,0.0035,0.0035,-1.8403,-1.7998,0.3402,0.3257,35385925,35586250
93,Laselva_exswamp_2011_T3_015087_20150115_193000,5493.2518,5502.74,0.0471,0.0474,-2.6562,-2.6517,1.3204,1.1337,10433784.5455,10562050
94,Laselva_exswamp_2011_T3_015087_20150118_180000,5221.5591,5279.81,0.0502,0.0483,-2.7872,-2.7591,1.4965,1.4288,11824782.9545,11892700
95,Laselva_exswamp_2011_T3_EXPSWAMP_20110810_191515,7392.9877,7450.085,0.0147,0.0123,-1.7404,-1.7129,2.0107,1.7265,21404047.7273,21740800
96,Laselva_exswamp_2011_T3_EXPSWAMP_20110811_191518,6956.3,6937.585,0.0163,0.017,-1.951,-1.96,1.049,0.6811,17488650,16748550
97,Laselva_exswamp_2011_T3_EXPSWAMP_20110812_203021,6723.9355,6657.54,0.0178,0.017,-2.063,-2.095,1.4645,1.1005,19659852.2727,19157650
98,Laselva_exswamp_2011_T3_EXPSWAMP_20110813_204526,6376.6636,6356.865,0.0169,0.0162,-2.2304,-2.2399,1.1475,0.6802,20828350,20773900
99,Laselva_exswamp_2011_T3_EXPSWAMP_20110818_180004,7896.6873,7850.195,0.0073,0.0072,-1.4976,-1.52,0.6147,0.5988,16629311.3636,16364700
100,Laselva_exswamp_2011_T3_EXPSWAMP_20110820_191500,8358.867,8407.89,0.0116,0.0109,-1.2748,-1.2512,6.2858,5.0371,21968709.0909,22486500
101,Laselva_exswamp_2011_T3_EXPSWAMP_20110821_183000,9644.6839,9545.075,0.0073,0.0075,-0.655,-0.703,18.6847,11.8606,22611565.9091,22465000
